date,new,discharged,deaths,icu_total
2020-01-25,3,0,0,0
2020-01-26,1,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,3,0,0,0
2020-01-30,1,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,2,0,0,0
2020-02-05,2,1,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,4,1,0,0
2020-02-09,0,1,0,0
2020-02-10,2,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,1,0,0,0
2020-02-14,0,4,0,0
2020-02-15,3,0,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,2,0,0
2020-02-19,0,4,0,0
2020-02-20,0,2,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,1,0,0
2020-02-24,0,2,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,2,0,0
2020-02-28,0,0,0,0
2020-02-29,2,0,0,0
2020-03-01,4,0,0,0
2020-03-02,0,0,0,0
2020-03-03,7,0,0,0
2020-03-04,14,0,0,0
2020-03-05,0,0,0,0
2020-03-06,33,0,0,0
2020-03-07,10,1,0,0
2020-03-08,6,1,0,2
2020-03-09,18,0,0,2
2020-03-10,12,1,0,2
2020-03-11,20,1,0,2
2020-03-12,9,6,0,3
2020-03-13,39,0,0,4
2020-03-14,41,3,0,5
2020-03-15,190,7,0,9
2020-03-16,125,0,0,12
2020-03-17,120,7,2,12
2020-03-18,117,11,0,15
2020-03-19,110,15,0,20
2020-03-20,130,12,0,26
2020-03-21,153,27,2,37
2020-03-22,123,25,6,46
2020-03-23,212,20,4,57
2020-03-24,106,24,2,64
2020-03-25,172,16,3,45
2020-03-26,235,16,4,45
2020-03-27,130,44,3,54
2020-03-28,159,61,1,73
2020-03-29,150,68,7,73
2020-03-30,156,91,3,94
2020-03-31,140,58,6,94
2020-04-01,142,108,2,102
2020-04-02,208,122,5,105
2020-04-03,217,60,3,108
2020-04-04,150,88,4,99
2020-04-05,179,90,4,99
2020-04-06,131,236,1,102
2020-04-07,170,80,1,92
2020-04-08,156,166,2,76
2020-04-09,109,121,2,72
2020-04-10,118,222,3,69
2020-04-11,184,165,3,72
2020-04-12,153,113,3,66
2020-04-13,134,168,1,66
2020-04-14,170,202,5,60
2020-04-15,85,169,1,56
2020-04-16,110,119,1,56
2020-04-17,69,201,2,51
2020-04-18,54,135,2,49
2020-04-19,84,95,1,46
2020-04-20,36,98,0,45
2020-04-21,57,54,3,43
2020-04-22,50,103,1,43
2020-04-23,71,90,2,42
2020-04-24,88,121,1,41
2020-04-25,51,99,2,36
2020-04-26,38,100,0,36
2020-04-27,40,95,1,37
2020-04-28,31,75,1,36
2020-04-29,94,55,0,40
2020-04-30,57,84,2,36
2020-05-01,69,39,1,37
2020-05-02,105,116,0,31
2020-05-03,122,87,2,27
2020-05-04,55,71,0,28
2020-05-05,30,83,1,24
2020-05-06,45,135,1,22
2020-05-07,39,74,0,19
2020-05-08,68,88,0,18
2020-05-09,54,65,1,18
2020-05-10,67,96,0,18
2020-05-11,70,88,1,20
2020-05-12,16,110,0,16
2020-05-13,37,58,2,16
2020-05-14,40,70,1,16
2020-05-15,36,88,0,14
2020-05-16,17,73,1,13
2020-05-17,22,59,0,13
2020-05-18,47,44,0,13
2020-05-19,37,31,1,11
2020-05-20,31,60,0,11
2020-05-21,50,90,0,10
2020-05-22,78,63,1,9
2020-05-23,48,53,0,9
2020-05-24,60,33,0,9
2020-05-25,172,34,0,8
2020-05-26,187,62,0,8
2020-05-27,15,42,0,8
2020-05-28,10,86,0,8
2020-05-29,103,66,0,8
2020-05-30,30,95,0,9
2020-05-31,57,23,0,9
2020-06-01,38,51,0,8
2020-06-02,20,66,0,6
2020-06-03,93,61,0,6
2020-06-04,277,28,0,6
2020-06-05,19,51,1,6
2020-06-06,0,0,0,6
2020-06-07,56,64,1,5
2020-06-08,7,20,0,6
2020-06-09,7,281,0,6
2020-06-10,2,39,1,5
2020-06-11,31,51,0,5
2020-06-12,33,103,1,4
2020-06-13,43,143,1,4
2020-06-14,8,35,1,4
2020-06-15,41,54,0,4
2020-06-16,11,333,0,4
2020-06-17,10,140,0,4
2020-06-18,14,127,0,4
2020-06-19,6,70,0,3
2020-06-20,21,76,0,3
2020-06-21,16,10,0,3
2020-06-22,15,21,0,3
2020-06-23,3,9,0,3
2020-06-24,6,45,0,2
2020-06-25,4,40,0,2
2020-06-26,6,23,0,2
2020-06-27,10,14,0,2
2020-06-28,18,10,0,2
2020-06-29,3,16,0,4
2020-06-30,2,20,0,4
2020-07-01,1,21,0,4
2020-07-02,3,62,0,2
2020-07-03,5,9,0,2
2020-07-04,10,15,0,2
2020-07-05,5,4,0,2
2020-07-06,5,11,0,2
2020-07-07,6,5,0,2
2020-07-08,3,5,0,2
2020-07-09,6,13,0,2
2020-07-10,13,12,0,2
2020-07-11,8,4,1,2
2020-07-12,14,4,0,3
2020-07-13,7,1,0,4
2020-07-14,4,4,0,6
2020-07-15,5,2,0,5
2020-07-16,3,12,0,3
2020-07-17,18,3,0,3
2020-07-18,9,5,0,1
2020-07-19,15,7,1,2
2020-07-20,21,2,0,3
2020-07-21,15,7,0,4
2020-07-22,16,4,0,5
2020-07-23,9,8,0,5
2020-07-24,21,3,0,5
2020-07-25,23,17,0,3
2020-07-26,13,6,1,2
2020-07-27,7,1,0,0
2020-07-28,39,6,0,1
2020-07-29,13,5,0,2
2020-07-30,8,5,0,3
2020-07-31,12,27,1,3
2020-08-01,9,3,0,2
2020-08-02,14,17,0,2
2020-08-03,2,4,0,1
2020-08-04,1,16,0,0
2020-08-05,21,18,0,2
2020-08-06,15,11,0,2
2020-08-07,25,15,0,2
2020-08-08,7,47,0,2
2020-08-09,13,9,0,1
2020-08-10,11,19,0,1
2020-08-11,9,6,0,2
2020-08-12,11,8,0,1
2020-08-13,15,4,0,2
2020-08-14,20,7,0,4
2020-08-15,26,3,0,6
2020-08-16,25,28,0,7
2020-08-17,12,17,0,8
2020-08-18,7,26,0,8
2020-08-19,16,23,0,7
2020-08-20,5,7,0,7
2020-08-21,9,13,0,7
2020-08-22,8,4,0,8
2020-08-23,10,10,0,9
2020-08-24,7,6,0,8
2020-08-25,11,6,0,8
2020-08-26,6,7,0,9
2020-08-27,5,16,0,8
2020-08-28,10,36,0,8
2020-08-29,11,8,0,8
2020-08-30,17,10,1,7
2020-08-31,6,6,1,6
2020-09-01,14,21,1,5
2020-09-02,6,4,0,4
2020-09-03,14,4,0,4
2020-09-04,11,9,0,4
2020-09-05,6,21,0,5
2020-09-06,6,2,0,6
2020-09-07,62,9,0,6
2020-09-08,100,12,0,7
2020-09-09,24,7,0,7
2020-09-10,45,24,0,9
2020-09-11,182,14,0,9
2020-09-12,58,8,0,9
2020-09-13,47,7,0,9
2020-09-14,31,7,0,11
2020-09-15,23,6,0,14
2020-09-16,62,26,0,15
2020-09-17,21,15,0,13
2020-09-18,95,14,1,11
2020-09-19,20,51,1,12
2020-09-20,52,40,0,10
2020-09-21,57,40,0,9
2020-09-22,82,168,0,9
2020-09-23,147,39,3,8
2020-09-24,71,64,0,6
2020-09-25,111,30,0,4
2020-09-26,82,89,0,8
2020-09-27,150,50,1,6
2020-09-28,115,54,0,8
2020-09-29,101,50,0,13
2020-09-30,89,28,2,16
2020-10-01,260,47,0,20
2020-10-02,287,81,0,22
2020-10-03,317,121,1,29
2020-10-04,293,67,0,28
2020-10-05,432,57,0,32
2020-10-06,691,87,4,31
2020-10-07,489,74,0,40
2020-10-08,375,18,5,60
2020-10-09,354,188,6,68
2020-10-10,374,73,3,73
2020-10-11,561,133,2,90
2020-10-12,563,109,2,98
2020-10-13,660,350,4,101
2020-10-14,660,233,4,108
2020-10-15,589,409,3,103
2020-10-16,629,245,6,99
2020-10-17,869,302,4,91
2020-10-18,871,701,7,86
2020-10-19,865,455,3,99
2020-10-20,862,634,3,95
2020-10-21,732,580,6,102
2020-10-22,847,486,5,90
2020-10-23,710,467,10,90
2020-10-24,1228,671,7,92
2020-10-25,823,579,8,99
2020-10-26,1240,691,7,94
2020-10-27,835,674,2,89
2020-10-28,771,573,8,94
2020-10-29,679,685,0,106
2020-10-30,809,491,3,90
2020-10-31,649,1000,0,83
2020-11-01,957,972,0,97
2020-11-02,834,900,2,91
2020-11-03,1054,875,12,94
2020-11-04,1032,820,8,82
2020-11-05,1009,839,6,78
2020-11-06,1755,726,2,83
2020-11-07,1168,1029,3,87
2020-11-08,852,825,4,94
2020-11-09,972,1345,8,86
2020-11-10,869,725,6,82
2020-11-11,822,769,2,86
2020-11-12,919,996,1,92
2020-11-13,1304,900,1,96
2020-11-14,1114,803,2,103
2020-11-15,1208,1013,3,104
2020-11-16,1103,821,4,102
2020-11-17,1210,1018,5,105
2020-11-18,660,630,4,103
2020-11-19,1290,878,4,110
2020-11-20,958,956,3,110
2020-11-21,1041,1405,3,108
2020-11-22,1096,1104,3,106
2020-11-23,1884,883,2,115
2020-11-24,2188,1673,4,112
2020-11-25,970,2348,4,110
2020-11-26,935,2555,3,110
2020-11-27,1109,1148,2,113
2020-11-28,1315,1110,4,118
2020-11-29,1309,1333,3,116
2020-11-30,1212,2112,3,113
2020-12-01,1472,1552,3,120
2020-12-02,851,658,2,122
2020-12-03,1075,948,11,116
2020-12-04,1141,1144,0,129
2020-12-05,1123,1143,4,130
2020-12-06,1335,1069,2,126
2020-12-07,1600,1033,2,129
2020-12-08,1012,1750,4,126
2020-12-09,959,1068,5,127
2020-12-10,2234,1112,3,124
2020-12-11,1810,937,6,123
2020-12-12,1937,911,9,121
2020-12-13,1229,1309,4,115
2020-12-14,1371,1204,4,114
2020-12-15,1772,1084,3,118
2020-12-16,1295,1052,7,113
2020-12-17,1220,1297,3,106
2020-12-18,1683,1214,0,106
2020-12-19,1153,998,1,112
2020-12-20,1340,1067,4,116
2020-12-21,2018,1084,1,109
2020-12-22,2062,911,1,111
2020-12-23,1348,710,5,102
2020-12-24,1581,1085,2,102
2020-12-25,1247,1441,3,108
2020-12-26,2335,874,2,108
2020-12-27,1196,997,1,111
2020-12-28,1594,1181,3,116
2020-12-29,1925,1123,2,117
2020-12-30,1870,745,6,131
2020-12-31,2525,1481,8,131
2021-01-01,2068,2230,3,126
2021-01-02,2295,3321,9,125
2021-01-03,1704,2726,11,124
2021-01-04,1741,1010,7,122
2021-01-05,2027,1221,8,123
2021-01-06,2593,1129,4,141
2021-01-07,3027,2145,8,142
2021-01-08,2643,2708,16,170
2021-01-09,2451,1401,5,177
2021-01-10,2433,1277,9,171
2021-01-11,2232,1006,4,187
2021-01-12,3309,1469,4,190
2021-01-13,2985,994,4,197
2021-01-14,3337,1710,15,195
2021-01-15,3211,1939,8,204
2021-01-16,4029,2148,8,205
2021-01-17,3339,2676,7,240
2021-01-18,3306,2293,4,226
2021-01-19,3631,2944,14,238
2021-01-20,4008,2374,11,246
2021-01-21,3170,2490,12,260
2021-01-22,3631,2554,18,251
2021-01-23,4275,4313,7,260
2021-01-24,3346,4427,11,265
2021-01-25,3048,3638,11,261
2021-01-26,3585,4076,11,280
2021-01-27,3680,1858,7,314
2021-01-28,4094,3281,10,303
2021-01-29,5725,3423,16,301
2021-01-30,5728,3805,13,319
2021-01-31,5298,4522,14,313
2021-02-01,4214,4280,10,316
2021-02-02,3455,3661,21,327
2021-02-03,4284,3804,18,307
2021-02-04,4571,4092,17,308
2021-02-05,3391,3392,19,310
2021-02-06,3847,1692,12,305
2021-02-07,3731,3369,15,292
2021-02-08,3100,2340,24,282
2021-02-09,2764,3887,13,289
2021-02-10,3288,1929,14,285
2021-02-11,3384,3774,13,259
2021-02-12,3318,3505,17,258
2021-02-13,3499,3515,5,263
2021-02-14,2464,4525,7,260
2021-02-15,2176,4521,10,260
2021-02-16,2720,5718,8,253
2021-02-17,2998,5709,22,231
2021-02-18,2712,5320,25,227
2021-02-19,2936,4889,13,220
2021-02-20,2461,4782,8,207
2021-02-21,3297,4456,5,209
2021-02-22,2192,3414,6,199
2021-02-23,2468,4055,14,196
2021-02-24,3545,3331,12,189
2021-02-25,1924,3752,12,205
2021-02-26,2253,3085,11,201
2021-02-27,2364,3320,10,190
2021-02-28,2437,3251,9,202
2021-03-01,1828,2486,5,198
2021-03-02,1555,2528,6,204
2021-03-03,1745,2276,7,195
2021-03-04,2063,2922,5,193
2021-03-05,2154,3275,6,184
2021-03-06,1680,2548,7,172
2021-03-07,1683,2506,3,174
2021-03-08,1529,2076,8,160
2021-03-09,1280,2345,9,155
2021-03-10,1448,2137,5,151
2021-03-11,1647,2104,9,147
2021-03-12,1575,2042,3,147
2021-03-13,1470,1830,3,162
2021-03-14,1354,1782,4,158
2021-03-15,1208,1973,3,155
2021-03-16,1063,1365,5,152
2021-03-17,1219,1346,2,154
2021-03-18,1213,1503,3,155
2021-03-19,1576,1996,2,151
2021-03-20,1671,1585,4,151
2021-03-21,1327,1247,4,154
2021-03-22,1116,1495,5,156
2021-03-23,1384,1058,6,148
2021-03-24,1268,1083,2,161
2021-03-25,1360,1491,2,157
2021-03-26,1275,1509,1,161
2021-03-27,1199,1257,2,167
2021-03-28,1302,1127,4,169
2021-03-29,941,1097,5,166
2021-03-30,1133,1148,5,161
2021-03-31,1482,1070,7,164
2021-04-01,1178,1377,6,163
2021-04-02,1294,1442,5,168
2021-04-03,1638,1449,3,167
2021-04-04,1349,1270,2,186
2021-04-05,1070,1294,7,180
2021-04-06,1300,1412,5,189
2021-04-07,1139,1199,4,194
2021-04-08,1285,1175,4,186
2021-04-09,1854,1247,5,169
2021-04-10,1510,1248,8,194
2021-04-11,1739,1216,8,183
2021-04-12,1317,1052,4,188
2021-04-13,1767,1290,12,199
2021-04-14,1889,1485,8,204
2021-04-15,2148,1259,10,212
2021-04-16,2551,1524,2,227
2021-04-17,2331,1832,5,225
2021-04-18,2195,1427,8,219
2021-04-19,2078,1402,8,228
2021-04-20,2341,1592,3,249
2021-04-21,2340,1910,11,248
2021-04-22,2875,2541,7,248
2021-04-23,2847,2341,8,260
2021-04-24,2717,2292,11,272
2021-04-25,2690,1853,10,283
2021-04-26,2776,1803,13,300
2021-04-27,2733,2019,13,294
2021-04-28,3142,1822,15,306
2021-04-29,3332,1943,15,309
2021-04-30,3788,2640,14,328
2021-05-01,2881,2462,15,337
2021-05-02,3418,2698,12,345
2021-05-03,2500,2068,18,352
2021-05-04,3120,2334,23,338
2021-05-05,3744,2304,17,328
2021-05-06,3551,2709,19,354
2021-05-07,4498,3449,22,372
2021-05-08,4519,2719,25,393
2021-05-09,3733,3211,26,416
2021-05-10,3807,3454,17,434
2021-05-11,3973,2848,22,453
2021-05-12,4765,3124,39,469
2021-05-13,4855,3347,27,481
2021-05-14,4113,4190,34,482
2021-05-15,4140,3432,44,503
2021-05-16,3780,3990,36,520
2021-05-17,4446,2784,45,522
2021-05-18,4865,3497,47,531
2021-05-19,6075,3516,46,559
2021-05-20,6806,3916,59,587
2021-05-21,6493,4508,50,643
2021-05-22,6320,4694,50,652
2021-05-23,6976,3587,49,681
2021-05-24,6509,3452,61,711
2021-05-25,7289,3789,60,726
2021-05-26,7478,4665,63,756
2021-05-27,7857,4598,59,771
2021-05-28,8290,4814,61,808
2021-05-29,9020,5527,98,844
2021-05-30,6999,5121,79,846
2021-05-31,6824,5251,67,851
2021-06-01,7105,6083,71,872
2021-06-02,7703,5777,126,878
2021-06-03,8209,7049,103,880
2021-06-04,7748,6624,86,883
2021-06-05,7452,6105,109,886
2021-06-06,6241,5133,87,890
2021-06-07,5271,7548,82,902
2021-06-08,5566,6962,76,903
2021-06-09,6239,7386,75,905
2021-06-10,5671,7325,73,911
2021-06-11,6849,7749,84,912
2021-06-12,5793,8334,76,914
2021-06-13,5304,8163,64,917
2021-06-14,4949,6588,60,921
2021-06-15,5419,6831,101,922
2021-06-16,5150,7240,73,924
2021-06-17,5738,7530,60,909
2021-06-18,6440,6861,74,894
2021-06-19,5911,6918,72,886
2021-06-20,5293,5941,60,880
2021-06-21,4611,5439,69,880
2021-06-22,4743,5557,77,875
2021-06-23,5244,6372,83,879
2021-06-24,5841,5411,84,869
2021-06-25,5812,6775,82,870
2021-06-26,5803,5193,81,866
2021-06-27,5586,4777,60,886
2021-06-28,5218,4744,57,899
2021-06-29,6437,5298,107,905
2021-06-30,6276,4929,62,905
2021-07-01,6988,5580,84,917
2021-07-02,6982,6278,73,905
2021-07-03,6658,5677,107,892
2021-07-04,6045,5271,63,917
2021-07-05,6387,4532,77,923
2021-07-06,7654,4797,103,943
2021-07-07,7097,4863,91,948
2021-07-08,8868,5802,135,952
2021-07-09,9180,5713,77,959
2021-07-10,9353,5910,87,959
2021-07-11,9105,5194,91,961
2021-07-12,8574,5041,102,964
2021-07-13,11079,5990,125,972
2021-07-14,11618,6377,118,878
2021-07-15,13215,6095,110,885
2021-07-16,12541,6742,115,896
2021-07-17,12528,6629,138,908
2021-07-18,10710,5778,153,909
2021-07-19,10972,6439,129,915
2021-07-20,12366,7567,93,924
2021-07-21,11985,7902,199,927
2021-07-22,13034,8436,134,938
2021-07-23,15573,10094,144,939
2021-07-24,15902,9471,184,950
2021-07-25,17045,9683,92,970
2021-07-26,14516,9372,207,1009
2021-07-27,16117,11526,207,1023
2021-07-28,17405,12373,143,1016
2021-07-29,17170,12930,174,1043
2021-07-30,16840,12179,134,1055
2021-07-31,17786,11718,165,1062
2021-08-01,17150,11326,160,1059
2021-08-02,15764,11767,219,1063
2021-08-03,17105,12297,195,1066
2021-08-04,19819,12704,257,1069
2021-08-05,20596,13893,164,1078
2021-08-06,20889,16394,160,1096
